"OldPath","NewPath","ReferencingNote","Reason","SHA256"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725192246.png","01 Основы\Linux\assets\Pasted image 20240725192246.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","03958F64A2CB1775B295CDA9F56D13CD373952147E927DA2BF0FFFC7E39486D0"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725192928.png","01 Основы\Linux\assets\Pasted image 20240725192928.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","8547B2CE4544667660FCA00A8234C1CC2D2811AE5C21785C3F88D2B45ECC9AD1"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725193239.png","01 Основы\Linux\assets\Pasted image 20240725193239.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","9215675524626378708B2B100B132500D6AD8FA789338F2B378CB96FB75ABF51"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240725194507.png","01 Основы\Linux\assets\Pasted image 20240725194507.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","C8A5C66EF3C19C65713DF068161459615D68200292853586AB8777F841C43671"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726153339.png","01 Основы\Linux\assets\Pasted image 20240726153339.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","F79B65F47DDB28BAEACDA3758C8E40EB0E7875A6DD0EE18AA166FE0523688D5A"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726153425.png","01 Основы\Linux\assets\Pasted image 20240726153425.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","6363A612D7F58B9783D1CB51235FAC6A619A0E3E366B92523FF78D15C68BA8A0"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726154153.png","01 Основы\Linux\assets\Pasted image 20240726154153.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","DF7814FAE05962D61E1CB01F397459E1FE1950D137A9F800C92189C8AFC3C5CE"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726154446.png","01 Основы\Linux\assets\Pasted image 20240726154446.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","EE10641474DE3D196E4FE017C483380FC4A44146F73D79C85297163E131A50CB"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726154625.png","01 Основы\Linux\assets\Pasted image 20240726154625.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","9EE9707B95A754B58ACB8E5361ECB2D35BE4DAFE5B76350AEC8667CAF75397FD"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726171650.png","01 Основы\Linux\assets\Pasted image 20240726171650.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","CFE47C735421DD3864B5B63AABCC6A931C0A02C779E1D655845E49D4DF73C8C2"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726195726.png","01 Основы\Linux\assets\Pasted image 20240726195726.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","596B1FB2A955904F2FA0ED773911937C759305994B421167A8653668E34D9222"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726200041.png","01 Основы\Linux\assets\Pasted image 20240726200041.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","5A153668037912A4475027717891017BDF10F2718AFFDDE47280182DCF47F6CD"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726200420.png","01 Основы\Linux\assets\Pasted image 20240726200420.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","EBD235FEC907D378C67DCF66D608C0535BA7A75E0D30C3F9513F5C468430EB63"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726200811.png","01 Основы\Linux\assets\Pasted image 20240726200811.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","0BDC8AC155D591336B8BDE3760C9B26CD79F3991F720BD635A3911139840BAC0"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726200835.png","01 Основы\Linux\assets\Pasted image 20240726200835.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","868F83385E2C8FAAFF3F6E3FB216316C46E54A1EFFC69729FE531BBB14A53BBC"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726200852.png","01 Основы\Linux\assets\Pasted image 20240726200852.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","7D54BA1944B882664CBCD543BAB34FFD8FF120D7DB077410C39B9B1A9E457EEE"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726200917.png","01 Основы\Linux\assets\Pasted image 20240726200917.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","86EF774057338DD4F75BB95950483C6C5DC41A98B968E46F1F76869E7429E1E2"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726201143.png","01 Основы\Linux\assets\Pasted image 20240726201143.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","55A6F94F78B78B1C83F7DCE917B404CA7DF2D895656A5D002D072A8CCAE20A90"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726201440.png","01 Основы\Linux\assets\Pasted image 20240726201440.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","82B482F6731A0087ABB862B0E173887CF76ADAB4F661DB52C090134AB9A396CE"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726202549.png","01 Основы\Linux\assets\Pasted image 20240726202549.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","858F6CDAFC35F7B40AF4B0A3F31E1E10BD40169355655EAD6174593C9A6E9A15"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726202817.png","01 Основы\Linux\assets\Pasted image 20240726202817.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","DEB4A59996C1ED53807E75DC9D7A21AD19986EFFE19236EABA92B6A0B2E5FA3B"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726210427.png","01 Основы\Linux\assets\Pasted image 20240726210427.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","98EED3007CD25FC2135173D0ABD121AFD1CCA2F55D37808F2D937A0429BEC755"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726210705.png","01 Основы\Linux\assets\Pasted image 20240726210705.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","C87306DCF72E9872EBD0321F319FA9397FFE02F0E66243447455BBF3A5E2C893"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726211345.png","01 Основы\Linux\assets\Pasted image 20240726211345.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","DC3F3C128C46090ECD2EB9D567E50270E39622104D962C238C9FF42630E20A62"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726212250.png","01 Основы\Linux\assets\Pasted image 20240726212250.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","20CA0F8DBD4712D58DEBFA5F639BDA4FCCC5D3E42EFF07EA90022CD6324C4813"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726212514.png","01 Основы\Linux\assets\Pasted image 20240726212514.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","BDFC60C23512FC23A4322B71C30C9E22831F719A86904234CEC78D1B14638941"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726213120.png","01 Основы\Linux\assets\Pasted image 20240726213120.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","627D3BBB8548D5B3D0BB0C2D6EF3F612810BEA26C9533245F717A3077B644C58"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240726220107.png","01 Основы\Linux\assets\Pasted image 20240726220107.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","B95F09F0ECFCCB5387BCE20F2BD71F7E9FD841C427E50DD68553ED6ECF079FF7"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727143700.png","01 Основы\Linux\assets\Pasted image 20240727143700.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","DC44BCD0D2E65046BE24B8BBA2D1AE053F9D75EF24BD1D51425C76E37C0107CD"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727143744.png","01 Основы\Linux\assets\Pasted image 20240727143744.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","1F925531ACE8701B86C4CC1DE653556E227A3A4E2BCE4A5B44179A0E54E9C7A1"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727143833.png","01 Основы\Linux\assets\Pasted image 20240727143833.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","FF6A7D3ABEC6A99AB0B1668B6A8B53C1B01211BD15C291B577B5D90E330AAAE0"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727144922.png","01 Основы\Linux\assets\Pasted image 20240727144922.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","2725DC701DC7313E60155D19ADA3452CBCCDC9B3FE48C2974B9764C2A52A64A3"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727145205.png","01 Основы\Linux\assets\Pasted image 20240727145205.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","C95F84821ECE268A0FF84176E7C26BF583831B78D1384C357CEBA3EC7CC2F541"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727145405.png","01 Основы\Linux\assets\Pasted image 20240727145405.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","2529A676F80F1E0936227383D0215A5581CBB682BB4B5F8BAD61F6E210DC5AFC"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727150455.png","01 Основы\Linux\assets\Pasted image 20240727150455.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","25558D09728BE3F18AA24C2F2B8C05FFC86BC8B74E14A55C1806850D77677D61"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727151706.png","01 Основы\Linux\assets\Pasted image 20240727151706.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","E022DCB0197A590A7CE704D08AFDDF4EE45F52E0413BF89AA8B42D353619F132"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727180714.png","01 Основы\Linux\assets\Pasted image 20240727180714.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","0EF0F702E76E1B8F3D8D420F93DB90BCA995E084FA65D06306A7450BB0D4873B"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727181435.png","01 Основы\Linux\assets\Pasted image 20240727181435.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","6AABC9FB48E43FFB7D931EC69608F833A1D4E3C08E9EF3F22B20CB21D817E62F"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727181518.png","01 Основы\Linux\assets\Pasted image 20240727181518.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","935B45AFBE9F622622872093BA99C94E59B1CC12F2164D10F5F59C0F501205A0"
"01 Основы\Linux\assets_D01_Linux-1\Pasted image 20240727181545.png","01 Основы\Linux\assets\Pasted image 20240727181545.png","01 Основы\Linux\Практикум Ubuntu Server 20.04 LTS.md","referenced-by-one-note","B0B7BE147224E84B7BFFD5588DD13325C5D1DBCD5DFC4A1AC6657731889EC129"
"01 Основы\Контейнеры и инфраструктура\assets_D05_SimpleDocker\Pasted image 20240809101541.png","01 Основы\Контейнеры и инфраструктура\assets\Pasted image 20240809101541.png","01 Основы\Контейнеры и инфраструктура\Практикум Docker.md","referenced-by-one-note","E39C28CDAD87AEA214EECA7745D242348DAE297AA5FACF1A30F2D5EB6EBA1950"
"01 Основы\Контейнеры и инфраструктура\assets_D05_SimpleDocker\Pasted image 20240809101627.png","01 Основы\Контейнеры и инфраструктура\assets\Pasted image 20240809101627.png","01 Основы\Контейнеры и инфраструктура\Практикум Docker.md","referenced-by-one-note","83F81EF7C9904A073429FFE29C7772837372BD54788A9E3C158DCEAF3C1BC875"
"01 Основы\Контейнеры и инфраструктура\assets_D05_SimpleDocker\Pasted image 20240809101708.png","01 Основы\Контейнеры и инфраструктура\assets\Pasted image 20240809101708.png","01 Основы\Контейнеры и инфраструктура\Практикум Docker.md","referenced-by-one-note","A3DC002351440BF577EB548C4B154652F6E0375CCF70AB83B90273FB6806E4F2"
"01 Основы\Контейнеры и инфраструктура\assets_D05_SimpleDocker\Pasted image 20240809101734.png","01 Основы\Контейнеры и инфраструктура\assets\Pasted image 20240809101734.png","01 Основы\Контейнеры и инфраструктура\Практикум Docker.md","referenced-by-one-note","FC1DDEBA04B276F4EDC6E74249DD6EBD2C44CCD2E0750C6CFAAEB0179E450AC7"
"01 Основы\Контейнеры и инфраструктура\assets_D05_SimpleDocker\Pasted image 20240809103104.png","01 Основы\Контейнеры и инфраструктура\assets\Pasted image 20240809103104.png","01 Основы\Контейнеры и инфраструктура\Практикум Docker.md","referenced-by-one-note","33FA2070BC5EF250A38BA2D68AC00DB9A8176155BFC7C68A94529102138D049B"
"01 Основы\Контейнеры и инфраструктура\assets_D05_SimpleDocker\Pasted image 20240809103130.png","01 Основы\Контейнеры и инфраструктура\assets\Pasted image 20240809103130.png","01 Основы\Контейнеры и инфраструктура\Практикум Docker.md","referenced-by-one-note","7C41B22AC1A55EEF4DA7AE63C926129DCF7E7FF5F493FEDEB5EF6FCACDE091BB"
"01 Основы\Контейнеры и инфраструктура\assets_D05_SimpleDocker\Pasted image 20240809103154.png","01 Основы\Контейнеры и инфраструктура\assets\Pasted image 20240809103154.png","01 Основы\Контейнеры и инфраструктура\Практикум Docker.md","referenced-by-one-note","B7D066B39AC2A4F1E26DAA62DAAD8DA6BC8C3D45424EFD746AD0E9DA2937E6D5"
